model,ef,ef_lo,ef_hi,gf,gf_lo,gf_hi
claude-opus-4.1,3.55,3.44,3.82,6.97,6.89,7.03
claude-opus-4.0,4.47,4.08,4.46,6.98,6.93,7.02
claude-sonnet-4,1.62,1.4,2.04,6.98,6.95,7.01
gemini-3.1-pro,7.36,7.14,7.65,6.58,6.33,6.78
gemini-2.5-flash,4.68,3.95,5.1,6.57,6.35,6.76
gpt-4.1-2025-04-14,0.2,0.13,0.25,6.5,6.28,6.69
gpt-4.1-mini,1.21,0.38,1.53,6.18,5.89,6.43
gpt-4.1-nano,0.49,0.13,0.25,3.66,3.16,4.13
gpt-4o,0.34,0.13,0.13,5.11,4.9,5.32
gpt-4o-2024-08-06,0.62,0.25,0.38,5.22,5.04,5.37
gpt-4o-mini,0.0,0.0,0.0,3.2,2.8,3.73
