# per-criterion G (pooled, reliability-weighted council mean) and E (run-1 sweep), runs [1, 2, 3]
# produced by scripts/pooled_vendor_alignment.py
model,beauty_G,beauty_E,intel_G,intel_E,distinct_G,distinct_E,length_G,length_E,struct_G,struct_E
claude-opus-4.5,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000
claude-opus-4.1,6.8802,6.8325,7.1611,7.0161,7.0927,6.0136,6.6472,6.4789,7.2626,7.5907
claude-opus-4.0,6.4163,6.7143,6.5520,6.9611,6.6200,5.7127,5.9769,6.3444,6.6651,7.1038
claude-sonnet-4,6.1334,6.0644,6.2320,6.3787,5.7573,6.2338,6.7905,5.9682,6.1180,6.6552
gemini-3.1-pro,6.0810,6.7748,6.1537,7.4037,6.1359,7.2716,6.4447,6.8811,5.8152,7.3877
gemini-2.5-flash,5.3828,6.2387,5.6796,5.4611,6.1687,4.1563,5.7486,6.2783,5.5104,7.0321
gpt-4.1-mini,5.0780,6.2702,5.2242,6.2150,6.0431,6.3044,4.3044,6.4903,5.5889,6.7016
gpt-4.1-2025-04-14,5.0360,5.1922,5.0019,5.9961,5.8123,6.1726,3.8126,6.2845,5.5877,6.9684
gpt-4.1-nano,3.5700,5.0842,3.7508,5.2596,4.0704,3.6849,3.4275,2.8356,2.5863,2.9496
gpt-4o-2024-08-06,3.6080,4.7057,3.4761,4.5415,4.2094,3.1404,3.0695,4.0444,3.1087,5.6985
gpt-4o,3.4528,2.6144,3.4180,1.9822,4.3805,1.0175,2.9660,3.1043,3.3151,2.7870
gpt-4o-mini,3.7333,2.0605,3.5977,3.0006,3.7770,2.2592,3.9566,0.7892,2.5208,1.9247
