# four anchored components per run (twelve-evaluator basis; E^C from the run-1 sweep in every run) and pooled
# produced by pooled-three-runs/scripts/per_run_components.py
run,sigma1_sigma2,model,GF,GC,EF,EC,T
1,2.5725,claude-opus-4.1,6.9730,7.1591,3.5495,6.5220,6.0509
1,2.5725,claude-opus-4.5,7.0000,7.0000,7.0000,7.0000,7.0000
1,2.5725,claude-opus-4.0,6.9771,6.9778,4.4653,6.4223,6.2106
1,2.5725,claude-sonnet-4,6.9840,6.3106,1.6247,6.3008,5.3050
1,2.5725,gemini-3.1-pro,6.5787,5.7465,7.3586,7.0741,6.6895
1,2.5725,gemini-2.5-flash,6.5712,5.7200,4.6776,6.0669,5.7589
1,2.5725,gpt-4.1-2025-04-14,6.4980,5.0533,0.2022,6.0012,4.4387
1,2.5725,gpt-4.1-mini,6.1773,5.0558,1.2090,6.5023,4.7361
1,2.5725,gpt-4.1-nano,3.6616,3.6341,0.4919,5.0902,3.2195
1,2.5725,gpt-4o,5.1138,3.4441,0.3397,2.8200,2.9294
1,2.5725,gpt-4o-2024-08-06,5.2175,3.4261,0.6222,4.6736,3.4849
1,2.5725,gpt-4o-mini,3.1989,3.4270,0.0000,2.3479,2.2435
2,1.6660,claude-opus-4.1,6.9221,6.9464,6.7763,6.5220,6.7917
2,1.6660,claude-opus-4.5,7.0000,7.0000,7.0000,7.0000,7.0000
2,1.6660,claude-opus-4.0,6.8546,6.2258,3.4782,6.4223,5.7452
2,1.6660,claude-sonnet-4,6.9186,6.1357,2.4380,6.3008,5.4482
2,1.6660,gemini-3.1-pro,6.8603,6.2378,8.2879,7.0741,7.1150
2,1.6660,gemini-2.5-flash,6.3927,5.6134,3.8079,6.0669,5.4702
2,1.6660,gpt-4.1-2025-04-14,6.6545,4.9433,0.5306,6.0012,4.5324
2,1.6660,gpt-4.1-mini,6.2260,5.0164,3.8819,6.5023,5.4066
2,1.6660,gpt-4.1-nano,5.1322,3.3317,0.3907,5.0902,3.4862
2,1.6660,gpt-4o,5.6141,3.3633,0.4146,2.8200,3.0530
2,1.6660,gpt-4o-2024-08-06,5.6635,3.2625,0.0000,4.6736,3.3999
2,1.6660,gpt-4o-mini,6.0751,3.1305,0.0000,2.3479,2.8884
3,1.2873,claude-opus-4.1,7.1583,6.9208,5.1702,6.5220,6.4428
3,1.2873,claude-opus-4.5,7.0000,7.0000,7.0000,7.0000,7.0000
3,1.2873,claude-opus-4.0,6.9884,6.1345,5.4077,6.4223,6.2382
3,1.2873,claude-sonnet-4,7.0208,6.1725,3.9979,6.3008,5.8730
3,1.2873,gemini-3.1-pro,6.9184,6.3941,10.2428,7.0741,7.6573
3,1.2873,gemini-2.5-flash,6.5108,5.7607,0.0069,6.0669,4.5863
3,1.2873,gpt-4.1-2025-04-14,6.5072,5.1537,2.9181,6.0012,5.1451
3,1.2873,gpt-4.1-mini,6.3945,5.6710,0.0635,6.5023,4.6579
3,1.2873,gpt-4.1-nano,5.4269,3.7084,0.0000,5.0902,3.5564
3,1.2873,gpt-4o,5.3517,3.7120,1.0238,2.8200,3.2269
3,1.2873,gpt-4o-2024-08-06,5.2832,3.7944,0.0000,4.6736,3.4378
3,1.2873,gpt-4o-mini,4.2472,3.8941,0.0000,2.3479,2.6223
pooled,2.2357,claude-opus-4.1,6.9931,7.0088,4.6511,6.5220,6.2938
pooled,2.2357,claude-opus-4.5,7.0000,7.0000,7.0000,7.0000,7.0000
pooled,2.2357,claude-opus-4.0,6.9315,6.4460,4.6946,6.4223,6.1236
pooled,2.2357,claude-sonnet-4,6.9637,6.2063,2.3718,6.3008,5.4606
pooled,2.2357,gemini-3.1-pro,6.7797,6.1261,8.2398,7.0741,7.0549
pooled,2.2357,gemini-2.5-flash,6.4862,5.6980,3.4678,6.0669,5.4297
pooled,2.2357,gpt-4.1-2025-04-14,6.5560,5.0501,0.7891,6.0012,4.5991
pooled,2.2357,gpt-4.1-mini,6.2558,5.2477,1.3357,6.5023,4.8354
pooled,2.2357,gpt-4.1-nano,4.8173,3.4810,0.2809,5.0902,3.4174
pooled,2.2357,gpt-4o,5.3347,3.5065,0.4749,2.8200,3.0340
pooled,2.2357,gpt-4o-2024-08-06,5.3930,3.4943,0.3495,4.6736,3.4776
pooled,2.2357,gpt-4o-mini,4.1418,3.5171,0.0000,2.3479,2.5017
