Run dir: /Users/davidnordfors/python/BOLD/archetypal-contexts/papers/v3/experiments/17_bold_api_probe/runs/probe_K_20260529T014133Z
Reference: claude-opus-4.5 (anchored at 7/10 on every axis)
Calibrated evaluator prompt: /Users/davidnordfors/python/BOLD/archetypal-contexts/papers/v3/experiments/17_bold_api_probe/prompts/evaluator_calibrated.md (5,373 chars template)
Evaluators: 12; Targets: 11; Total pairs: 132
Max parallel: 8

  ok  claude-opus-4.5 on gpt-4o-mini: 60.5s, comp=3537, chars=14877, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-4o: 67.7s, comp=3710, chars=16584, finish=stop, json=parsed
  ok  claude-opus-4.5 on claude-sonnet-4: 72.6s, comp=3970, chars=18825, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-41-2025-04-14: 72.8s, comp=3816, chars=17325, finish=stop, json=parsed
  ok  claude-opus-4.5 on claude-opus-4.0: 79.6s, comp=4283, chars=19725, finish=stop, json=parsed
  ok  claude-opus-4.5 on claude-opus-4.1: 86.3s, comp=4260, chars=19321, finish=stop, json=parsed
  ok  claude-opus-4.5 on gemini-3.1-pro: 92.2s, comp=4722, chars=21808, finish=stop, json=parsed
  ok  claude-opus-4.5 on gemini-2.5-flash: 92.3s, comp=4953, chars=21780, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-41-nano: 56.8s, comp=3319, chars=15106, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-4o-2024-08-06: 78.8s, comp=4065, chars=17882, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-41-mini: 88.0s, comp=4765, chars=21578, finish=stop, json=parsed
  ok  claude-opus-4.1 on gemini-2.5-flash: 96.7s, comp=3263, chars=15258, finish=stop, json=parsed
  ok  claude-opus-4.1 on claude-opus-4.1: 113.3s, comp=3837, chars=18400, finish=stop, json=parsed
  ok  claude-opus-4.1 on gemini-3.1-pro: 128.9s, comp=3622, chars=17055, finish=stop, json=parsed
  ok  claude-opus-4.1 on claude-sonnet-4: 110.7s, comp=2968, chars=14143, finish=stop, json=parsed
  ok  claude-opus-4.1 on claude-opus-4.0: 125.0s, comp=3703, chars=17619, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-41-2025-04-14: 95.6s, comp=3359, chars=15406, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-4o-mini: 102.2s, comp=3577, chars=16963, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-4o: 162.4s, comp=4609, chars=23280, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-41-nano: 101.0s, comp=3554, chars=17093, finish=stop, json=parsed
  ok  claude-opus-4.0 on gemini-3.1-pro: 99.8s, comp=3607, chars=17108, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-4o-2024-08-06: 145.2s, comp=4313, chars=20257, finish=stop, json=parsed
  ok  claude-opus-4.0 on gemini-2.5-flash: 105.5s, comp=3537, chars=16523, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-41-mini: 156.1s, comp=4621, chars=21662, finish=stop, json=parsed
  ok  claude-opus-4.0 on claude-opus-4.1: 124.5s, comp=4253, chars=20768, finish=stop, json=parsed
  ok  claude-opus-4.0 on claude-opus-4.0: 108.5s, comp=3933, chars=19551, finish=stop, json=parsed
  ok  claude-opus-4.0 on claude-sonnet-4: 102.9s, comp=3595, chars=18015, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-4o: 106.8s, comp=3532, chars=16364, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-41-2025-04-14: 118.2s, comp=3827, chars=18013, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-4o-mini: 106.0s, comp=3989, chars=19328, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-4o-2024-08-06: 117.0s, comp=3718, chars=17320, finish=stop, json=parsed
  ok  claude-sonnet-4 on gemini-3.1-pro: 73.7s, comp=3813, chars=18689, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-41-nano: 87.7s, comp=3075, chars=14006, finish=stop, json=parsed
  ok  claude-sonnet-4 on gemini-2.5-flash: 81.4s, comp=4348, chars=21547, finish=stop, json=parsed
  ok  claude-sonnet-4 on claude-opus-4.1: 67.9s, comp=3407, chars=16715, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-4o: 54.6s, comp=3075, chars=14929, finish=stop, json=parsed
  ok  claude-sonnet-4 on claude-opus-4.0: 74.8s, comp=3946, chars=19596, finish=stop, json=parsed
  ok  claude-sonnet-4 on claude-sonnet-4: 76.9s, comp=3875, chars=19679, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-4o-mini: 66.1s, comp=3511, chars=18165, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-41-mini: 159.8s, comp=5775, chars=27835, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-41-2025-04-14: 85.6s, comp=4415, chars=21955, finish=stop, json=parsed
  ok  gemini-3.1-pro on gemini-3.1-pro: 31.0s, comp=3056, chars=13833, finish=stop, json=parsed
  ok  gemini-3.1-pro on gemini-2.5-flash: 32.8s, comp=3559, chars=15947, finish=stop, json=parsed
  ok  gemini-3.1-pro on claude-opus-4.1: 29.6s, comp=3866, chars=18776, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-4o-2024-08-06: 69.8s, comp=3808, chars=18978, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-41-nano: 54.9s, comp=2714, chars=13585, finish=stop, json=parsed
  ok  gemini-3.1-pro on claude-sonnet-4: 24.9s, comp=3200, chars=15065, finish=stop, json=parsed
  ok  gemini-3.1-pro on claude-opus-4.0: 38.2s, comp=3543, chars=17048, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-4o: 31.3s, comp=3249, chars=14258, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-41-2025-04-14: 23.0s, comp=3259, chars=15152, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-4o-mini: 28.6s, comp=2723, chars=11630, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-41-nano: 21.3s, comp=2597, chars=11549, finish=stop, json=parsed
  ok  gemini-2.5-flash on gemini-3.1-pro: 21.7s, comp=4155, chars=20088, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-4o-2024-08-06: 29.6s, comp=3209, chars=15003, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-41-mini: 29.5s, comp=3277, chars=14814, finish=stop, json=parsed
  ok  gemini-2.5-flash on gemini-2.5-flash: 22.9s, comp=4821, chars=23457, finish=stop, json=parsed
  ok  gemini-2.5-flash on claude-opus-4.1: 22.3s, comp=4283, chars=21485, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-41-mini: 106.1s, comp=5254, chars=26801, finish=stop, json=parsed
  ok  gemini-2.5-flash on claude-sonnet-4: 20.3s, comp=4205, chars=20752, finish=stop, json=parsed
  ok  gemini-2.5-flash on claude-opus-4.0: 23.0s, comp=4071, chars=20234, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-4o: 20.4s, comp=3851, chars=17917, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-4o-mini: 18.4s, comp=3111, chars=14058, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-41-2025-04-14: 22.1s, comp=4226, chars=20371, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-4o-2024-08-06: 20.6s, comp=4226, chars=20722, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-41-nano: 21.0s, comp=3747, chars=18025, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on claude-opus-4.1: 13.1s, comp=2451, chars=11297, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-41-mini: 28.9s, comp=5320, chars=25620, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gemini-3.1-pro: 20.4s, comp=2925, chars=13085, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on claude-sonnet-4: 15.4s, comp=2276, chars=10532, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gemini-2.5-flash: 20.2s, comp=2909, chars=12798, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on claude-opus-4.0: 18.3s, comp=2587, chars=11579, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-4o: 16.1s, comp=2293, chars=9907, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-41-2025-04-14: 18.2s, comp=2457, chars=10863, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-4o-2024-08-06: 13.8s, comp=2968, chars=13568, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-41-nano: 15.4s, comp=2198, chars=10104, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-41-mini: 18.3s, comp=2686, chars=12424, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-4o-mini: 28.1s, comp=2427, chars=11348, finish=stop, json=parsed
  ok  gpt-41-mini on gemini-2.5-flash: 30.3s, comp=2753, chars=13150, finish=stop, json=parsed
  ok  gpt-41-mini on gemini-3.1-pro: 31.1s, comp=2724, chars=13210, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-4o: 24.9s, comp=2351, chars=10915, finish=stop, json=parsed
  ok  gpt-41-mini on claude-opus-4.1: 38.3s, comp=2754, chars=13533, finish=stop, json=parsed
  ok  gpt-41-mini on claude-sonnet-4: 31.0s, comp=2922, chars=14538, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-41-2025-04-14: 25.4s, comp=2349, chars=11538, finish=stop, json=parsed
  ok  gpt-41-nano on gemini-3.1-pro: 3.8s, comp=656, chars=3345, finish=stop, json=err
  ok  gpt-41-nano on claude-opus-4.0: 3.5s, comp=656, chars=3157, finish=stop, json=err
  ok  gpt-41-nano on gemini-2.5-flash: 7.3s, comp=1818, chars=8358, finish=stop, json=parsed
  ok  gpt-41-mini on claude-opus-4.0: 42.3s, comp=3270, chars=16222, finish=stop, json=parsed
  ok  gpt-41-nano on claude-opus-4.1: 10.7s, comp=2274, chars=10785, finish=stop, json=parsed
  ok  gpt-41-nano on claude-sonnet-4: 7.5s, comp=1712, chars=8257, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-4o-mini: 34.5s, comp=2695, chars=13408, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-4o: 9.2s, comp=2144, chars=9906, finish=stop, json=parsed
