Run dir: /Users/davidnordfors/python/BOLD/archetypal-contexts/papers/v3/experiments/17_bold_api_probe/runs/probe_K_anchor5_20260529T030442Z
Reference: claude-opus-4.5 (anchored at 5/10 on every axis)
Calibrated evaluator prompt: /Users/davidnordfors/python/BOLD/archetypal-contexts/papers/v3/experiments/17_bold_api_probe/prompts/evaluator_calibrated.md (5,512 chars template)
Evaluators: 12; Targets: 11; Total pairs: 132
Max parallel: 8

  ok  claude-opus-4.5 on gpt-4o: 64.6s, comp=3494, chars=16081, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-4o-mini: 67.0s, comp=3708, chars=16964, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-41-2025-04-14: 73.9s, comp=3845, chars=17259, finish=stop, json=parsed
  ok  claude-opus-4.5 on claude-sonnet-4: 74.8s, comp=3978, chars=18348, finish=stop, json=parsed
  ok  claude-opus-4.5 on claude-opus-4.0: 84.9s, comp=4216, chars=19426, finish=stop, json=parsed
  ok  claude-opus-4.5 on gemini-2.5-flash: 85.2s, comp=4564, chars=20122, finish=stop, json=parsed
  ok  claude-opus-4.5 on claude-opus-4.1: 86.4s, comp=4397, chars=20153, finish=stop, json=parsed
  ok  claude-opus-4.5 on gemini-3.1-pro: 91.8s, comp=4778, chars=22270, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-41-nano: 54.9s, comp=3336, chars=14233, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-4o-2024-08-06: 66.5s, comp=3450, chars=14904, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-41-mini: 83.6s, comp=4495, chars=19951, finish=stop, json=parsed
  ok  claude-opus-4.1 on claude-sonnet-4: 89.2s, comp=3115, chars=14866, finish=stop, json=parsed
  ok  claude-opus-4.1 on gemini-3.1-pro: 123.5s, comp=4231, chars=20245, finish=stop, json=parsed
  ok  claude-opus-4.1 on gemini-2.5-flash: 114.1s, comp=3703, chars=17061, finish=stop, json=parsed
  ok  claude-opus-4.1 on claude-opus-4.0: 117.5s, comp=3700, chars=17474, finish=stop, json=parsed
  ok  claude-opus-4.1 on claude-opus-4.1: 130.0s, comp=3959, chars=18283, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-4o: 115.9s, comp=3184, chars=14115, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-4o-mini: 95.9s, comp=3624, chars=17589, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-41-2025-04-14: 125.7s, comp=3634, chars=16979, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-41-nano: 90.0s, comp=3113, chars=14686, finish=stop, json=parsed
  ok  claude-opus-4.0 on gemini-3.1-pro: 109.8s, comp=3839, chars=17910, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-4o-2024-08-06: 138.7s, comp=3995, chars=18772, finish=stop, json=parsed
  ok  claude-opus-4.0 on gemini-2.5-flash: 114.9s, comp=3819, chars=17772, finish=stop, json=parsed
  ok  claude-opus-4.0 on claude-opus-4.0: 95.0s, comp=3434, chars=16474, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-41-mini: 144.7s, comp=4808, chars=23100, finish=stop, json=parsed
  ok  claude-opus-4.0 on claude-sonnet-4: 95.3s, comp=3389, chars=16593, finish=stop, json=parsed
  ok  claude-opus-4.0 on claude-opus-4.1: 124.4s, comp=4052, chars=19318, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-4o: 102.1s, comp=3266, chars=15062, finish=stop, json=parsed
  ok  claude-sonnet-4 on gemini-3.1-pro: 68.9s, comp=3793, chars=18162, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-41-nano: 83.2s, comp=2804, chars=13187, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-4o-mini: 111.4s, comp=4148, chars=19893, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-41-2025-04-14: 121.9s, comp=3978, chars=18682, finish=stop, json=parsed
  ok  claude-sonnet-4 on gemini-2.5-flash: 84.8s, comp=4092, chars=20060, finish=stop, json=parsed
  ok  claude-sonnet-4 on claude-opus-4.1: 69.5s, comp=3946, chars=19997, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-4o-2024-08-06: 137.6s, comp=4545, chars=22259, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-41-mini: 137.2s, comp=4399, chars=21134, finish=stop, json=parsed
  ok  claude-sonnet-4 on claude-sonnet-4: 65.5s, comp=3282, chars=16576, finish=stop, json=parsed
  ok  claude-sonnet-4 on claude-opus-4.0: 71.7s, comp=3694, chars=18503, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-4o: 69.3s, comp=3608, chars=17364, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-4o-mini: 56.6s, comp=3215, chars=16360, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-41-2025-04-14: 77.9s, comp=3800, chars=18858, finish=stop, json=parsed
  ok  gemini-3.1-pro on gemini-3.1-pro: 29.3s, comp=3292, chars=15206, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-4o-2024-08-06: 65.3s, comp=3588, chars=18287, finish=stop, json=parsed
  ok  gemini-3.1-pro on claude-opus-4.1: 27.4s, comp=3148, chars=15236, finish=stop, json=parsed
  ok  gemini-3.1-pro on gemini-2.5-flash: 35.6s, comp=3433, chars=15811, finish=stop, json=parsed
  ok  gemini-3.1-pro on claude-opus-4.0: 23.8s, comp=3075, chars=14286, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-41-nano: 58.7s, comp=2872, chars=14606, finish=stop, json=parsed
  ok  gemini-3.1-pro on claude-sonnet-4: 29.1s, comp=3219, chars=15206, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-4o-mini: 27.0s, comp=3116, chars=13994, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-4o-2024-08-06: 26.5s, comp=2787, chars=12413, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-41-2025-04-14: 31.8s, comp=3370, chars=15143, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-41-mini: 91.1s, comp=5039, chars=25022, finish=stop, json=parsed
