Run dir: /Users/davidnordfors/python/BOLD/archetypal-contexts/papers/v3/experiments/17_bold_api_probe/runs/probe_K_anchor8_20260529T033755Z
Reference: claude-opus-4.5 (anchored at 8/10 on every axis)
Calibrated evaluator prompt: /Users/davidnordfors/python/BOLD/archetypal-contexts/papers/v3/experiments/17_bold_api_probe/prompts/evaluator_calibrated.md (5,512 chars template)
Evaluators: 12; Targets: 11; Total pairs: 132
Max parallel: 8

  ok  claude-opus-4.5 on gpt-4o-mini: 59.9s, comp=3521, chars=14924, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-4o: 69.2s, comp=3872, chars=17404, finish=stop, json=parsed
  ok  claude-opus-4.5 on claude-opus-4.0: 75.9s, comp=3840, chars=17285, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-41-2025-04-14: 79.9s, comp=3876, chars=17300, finish=stop, json=parsed
  ok  claude-opus-4.5 on claude-opus-4.1: 86.4s, comp=4391, chars=19606, finish=stop, json=parsed
  ok  claude-opus-4.5 on claude-sonnet-4: 86.8s, comp=4400, chars=20614, finish=stop, json=parsed
  ok  claude-opus-4.5 on gemini-2.5-flash: 86.8s, comp=4632, chars=19728, finish=stop, json=parsed
  ok  claude-opus-4.5 on gemini-3.1-pro: 99.0s, comp=4914, chars=22600, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-41-nano: 54.4s, comp=3079, chars=13074, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-4o-2024-08-06: 76.8s, comp=4010, chars=18162, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-41-mini: 88.6s, comp=4729, chars=21213, finish=stop, json=parsed
  ok  claude-opus-4.1 on gemini-3.1-pro: 117.5s, comp=3967, chars=18590, finish=stop, json=parsed
  ok  claude-opus-4.1 on claude-sonnet-4: 100.9s, comp=3486, chars=16696, finish=stop, json=parsed
  ok  claude-opus-4.1 on gemini-2.5-flash: 117.4s, comp=3855, chars=18816, finish=stop, json=parsed
  ok  claude-opus-4.1 on claude-opus-4.1: 120.3s, comp=3910, chars=18957, finish=stop, json=parsed
  ok  claude-opus-4.1 on claude-opus-4.0: 121.2s, comp=4091, chars=19467, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-41-2025-04-14: 100.4s, comp=3732, chars=17521, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-4o: 118.5s, comp=3673, chars=17455, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-4o-mini: 92.9s, comp=3390, chars=16294, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-41-nano: 80.7s, comp=2999, chars=13822, finish=stop, json=parsed
  ok  claude-opus-4.0 on gemini-3.1-pro: 95.0s, comp=3413, chars=15755, finish=stop, json=parsed
  ok  claude-opus-4.0 on claude-sonnet-4: 99.1s, comp=3423, chars=16396, finish=stop, json=parsed
  ok  claude-opus-4.0 on claude-opus-4.1: 115.8s, comp=3814, chars=18183, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-4o-2024-08-06: 159.3s, comp=5196, chars=25870, finish=stop, json=parsed
  ok  claude-opus-4.0 on gemini-2.5-flash: 157.9s, comp=5025, chars=23908, finish=stop, json=parsed
  ok  claude-opus-4.0 on claude-opus-4.0: 119.7s, comp=4268, chars=20866, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-41-mini: 179.8s, comp=5525, chars=26472, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-4o: 119.3s, comp=3848, chars=17931, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-41-2025-04-14: 133.9s, comp=4104, chars=19133, finish=stop, json=parsed
  ok  claude-sonnet-4 on gemini-3.1-pro: 77.6s, comp=3724, chars=18115, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-4o-2024-08-06: 94.3s, comp=3438, chars=16480, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-41-nano: 91.5s, comp=3198, chars=14855, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-4o-mini: 114.4s, comp=4142, chars=19800, finish=stop, json=parsed
  ok  claude-sonnet-4 on gemini-2.5-flash: 85.0s, comp=4343, chars=20368, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-41-mini: 121.4s, comp=4222, chars=19638, finish=stop, json=parsed
