Run dir: /Users/davidnordfors/python/BOLD/archetypal-contexts/reproduce_paper1/scripts/runs/probe_K_anchor7_20260619T015828Z
Reference: claude-opus-4.5 (anchored at 7/10 on every axis)
Calibrated evaluator prompt: /Users/davidnordfors/python/BOLD/archetypal-contexts/reproduce_paper1/scripts/prompts/evaluator_calibrated.md (5,512 chars template)
Evaluators: 12; Targets: 11; Total pairs: 132
Max parallel: 8

  ok  claude-opus-4.5 on gpt-4o-mini: 35.1s, comp=1367, chars=6575, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-4o: 57.9s, comp=3313, chars=15276, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-41-2025-04-14: 69.6s, comp=3599, chars=16370, finish=stop, json=parsed
  ok  claude-opus-4.5 on claude-sonnet-4: 73.8s, comp=3929, chars=18551, finish=stop, json=parsed
  ok  claude-opus-4.5 on gemini-3.1-pro: 79.6s, comp=4318, chars=19852, finish=stop, json=parsed
  ok  claude-opus-4.5 on claude-opus-4.0: 80.6s, comp=4000, chars=18059, finish=stop, json=parsed
  ok  claude-opus-4.5 on claude-opus-4.1: 83.1s, comp=4263, chars=19408, finish=stop, json=parsed
  ok  claude-opus-4.5 on gemini-2.5-flash: 96.2s, comp=5105, chars=22169, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-4o-2024-08-06: 61.8s, comp=3328, chars=14651, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-41-mini: 86.1s, comp=4533, chars=19236, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-41-nano: 78.6s, comp=4026, chars=18169, finish=stop, json=parsed
  ok  claude-opus-4.1 on claude-opus-4.0: 108.1s, comp=3686, chars=16677, finish=stop, json=parsed
  ok  claude-opus-4.1 on claude-opus-4.1: 110.6s, comp=3368, chars=15580, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-4o: 98.2s, comp=3519, chars=16791, finish=stop, json=parsed
  ok  claude-opus-4.1 on gemini-2.5-flash: 116.9s, comp=3939, chars=18936, finish=stop, json=parsed
  ok  claude-opus-4.1 on gemini-3.1-pro: 126.0s, comp=4358, chars=20987, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-4o-mini: 53.2s, comp=1129, chars=5539, finish=stop, json=parsed
  ok  claude-opus-4.1 on claude-sonnet-4: 126.6s, comp=4521, chars=21998, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-41-2025-04-14: 127.4s, comp=4161, chars=19861, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-41-nano: 91.5s, comp=3259, chars=15419, finish=stop, json=parsed
  ok  claude-opus-4.0 on claude-opus-4.1: 90.1s, comp=3294, chars=15451, finish=stop, json=parsed
  ok  claude-opus-4.0 on gemini-2.5-flash: 102.3s, comp=3374, chars=15153, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-41-mini: 119.5s, comp=3891, chars=17971, finish=stop, json=parsed
  ok  claude-opus-4.0 on gemini-3.1-pro: 118.0s, comp=4194, chars=20470, finish=stop, json=parsed
  ok  claude-opus-4.0 on claude-opus-4.0: 102.3s, comp=3409, chars=16217, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-4o-mini: 37.5s, comp=1044, chars=5175, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-4o-2024-08-06: 154.7s, comp=4726, chars=22766, finish=stop, json=parsed
