rank,model,mean,ci_lo,ci_hi
1,claude-opus-4.5,9.284848,9.003030,9.535152
2,claude-opus-4.1,9.198788,8.857576,9.500606
3,claude-opus-4.0,9.024848,8.600606,9.390909
4,claude-sonnet-4,8.927879,8.504227,9.316364
5,gpt-4.1-2025-04-14,8.881818,8.482424,9.235758
6,gemini-2.5-flash,8.786768,8.418280,9.149394
7,gpt-4.1-mini,8.668384,8.065553,9.201515
8,gemini-3.1-pro,8.644848,8.141818,9.101212
9,gpt-4o-mini,8.253939,7.415742,8.966667
10,gpt-4o,7.907879,7.066652,8.630909
11,gpt-4o-2024-08-06,7.901818,7.119985,8.646061
12,gpt-4.1-nano,7.316970,6.269239,8.268189
