exhibit,model,axis,value
per_axis_rho,gemini-3.1-pro,factual,0.877549
per_axis_rho,gemini-3.1-pro,beauty,0.833492
per_axis_rho,gemini-3.1-pro,intel,0.896056
per_axis_rho,gemini-3.1-pro,distinct,0.873240
per_axis_rho,gemini-3.1-pro,length,0.895004
per_axis_rho,gemini-3.1-pro,struct,0.894131
per_axis_rho,claude-opus-4.5,factual,0.898130
per_axis_rho,claude-opus-4.5,beauty,0.861195
per_axis_rho,claude-opus-4.5,intel,0.847193
per_axis_rho,claude-opus-4.5,distinct,0.840624
per_axis_rho,claude-opus-4.5,length,0.910468
per_axis_rho,claude-opus-4.5,struct,0.847210
per_axis_rho,claude-opus-4.1,factual,0.826644
per_axis_rho,claude-opus-4.1,beauty,0.840585
per_axis_rho,claude-opus-4.1,intel,0.849140
per_axis_rho,claude-opus-4.1,distinct,0.722171
per_axis_rho,claude-opus-4.1,length,0.842689
per_axis_rho,claude-opus-4.1,struct,0.918703
per_axis_rho,claude-opus-4.0,factual,0.781674
per_axis_rho,claude-opus-4.0,beauty,0.826052
per_axis_rho,claude-opus-4.0,intel,0.842490
per_axis_rho,claude-opus-4.0,distinct,0.686035
per_axis_rho,claude-opus-4.0,length,0.825197
per_axis_rho,claude-opus-4.0,struct,0.859773
per_axis_rho,gpt-4.1-mini,factual,0.874775
per_axis_rho,gpt-4.1-mini,beauty,0.771416
per_axis_rho,gpt-4.1-mini,intel,0.752186
per_axis_rho,gpt-4.1-mini,distinct,0.757095
per_axis_rho,gpt-4.1-mini,length,0.844171
per_axis_rho,gpt-4.1-mini,struct,0.811100
per_axis_rho,claude-sonnet-4,factual,0.703776
per_axis_rho,claude-sonnet-4,beauty,0.746092
per_axis_rho,claude-sonnet-4,intel,0.771995
per_axis_rho,claude-sonnet-4,distinct,0.748609
per_axis_rho,claude-sonnet-4,length,0.776271
per_axis_rho,claude-sonnet-4,struct,0.805482
per_axis_rho,gpt-4.1-2025-04-14,factual,0.235829
per_axis_rho,gpt-4.1-2025-04-14,beauty,0.638783
