# pointwise 95% band of the fitted line under the two-level bootstrap (scheme C:
#   models resampled with replacement + per-model measurement draws from the
#   T replicate distributions and GPQA binomials). seed 20260817, B=10000.
# produced by scripts/slope_full_bootstrap.py; drawn by plot_total_validation.py
x,lo95,hi95
1.8451,34.1254,47.3987
1.9367,35.0235,47.9790
2.0283,35.9120,48.5490
2.1199,36.8082,49.1276
2.2115,37.7084,49.6783
2.3031,38.6040,50.2575
2.3948,39.4832,50.8378
2.4864,40.3585,51.4174
2.5780,41.2268,51.9974
2.6696,42.0883,52.5951
2.7612,42.9633,53.1576
2.8528,43.8637,53.7377
2.9444,44.7083,54.3177
3.0360,45.5943,54.8920
3.1276,46.4492,55.4912
3.2192,47.2983,56.0750
3.3108,48.1612,56.6749
3.4024,49.0130,57.2649
3.4941,49.8498,57.8483
3.5857,50.7115,58.4342
3.6773,51.5421,59.0428
3.7689,52.3980,59.6488
3.8605,53.2139,60.2471
3.9521,54.0297,60.8765
4.0437,54.8407,61.5304
4.1353,55.6402,62.1664
4.2269,56.4515,62.8134
4.3185,57.2569,63.4446
4.4101,58.0474,64.0817
4.5017,58.8006,64.7415
4.5934,59.5665,65.4009
4.6850,60.3499,66.0697
4.7766,61.0892,66.7653
4.8682,61.8377,67.4647
4.9598,62.5609,68.1730
5.0514,63.2682,68.8984
5.1430,63.9576,69.6321
5.2346,64.6430,70.3698
5.3262,65.3621,71.1248
5.4178,66.0529,71.8769
5.5094,66.7387,72.6773
5.6010,67.4185,73.4738
5.6927,68.0798,74.2719
5.7843,68.7350,75.0801
5.8759,69.3869,75.9093
5.9675,70.0341,76.7408
6.0591,70.6641,77.5823
6.1507,71.3023,78.4160
6.2423,71.9209,79.2583
6.3339,72.5474,80.0960
6.4255,73.1692,80.9709
6.5171,73.7975,81.8189
6.6087,74.3874,82.6891
6.7003,74.9746,83.5537
6.7920,75.5820,84.4156
6.8836,76.1946,85.3052
6.9752,76.7686,86.1641
7.0668,77.3500,87.0247
7.1584,77.9337,87.8550
7.2500,78.5173,88.7264
