# pointwise 95% band of the fitted line under the two-level bootstrap (scheme C:
#   models resampled with replacement + per-model measurement draws from the
#   T replicate distributions and GPQA binomials). seed 20260817, B=10000.
# produced by scripts/slope_full_bootstrap.py; drawn by plot_total_validation.py
x,lo95,hi95
2.1433,35.2002,47.1533
2.2299,36.0853,47.7419
2.3164,36.9789,48.3386
2.4030,37.8448,48.9272
2.4895,38.7102,49.5277
2.5761,39.5484,50.1149
2.6626,40.4122,50.7008
2.7492,41.2806,51.3054
2.8357,42.1449,51.8994
2.9223,43.0209,52.5023
3.0088,43.9163,53.0752
3.0954,44.7717,53.6617
3.1820,45.6123,54.2421
3.2685,46.4839,54.8427
3.3551,47.3358,55.4456
3.4416,48.1817,56.0497
3.5282,49.0057,56.6552
3.6147,49.8523,57.2689
3.7013,50.6794,57.8911
3.7878,51.5098,58.5091
3.8744,52.3524,59.1403
3.9609,53.1455,59.7560
4.0475,53.9646,60.3880
4.1340,54.7640,61.0261
4.2206,55.5613,61.6655
4.3072,56.3465,62.2960
4.3937,57.1229,62.9449
4.4803,57.9066,63.5902
4.5668,58.6822,64.2493
4.6534,59.4550,64.9104
4.7399,60.2251,65.5823
4.8265,60.9733,66.2578
4.9130,61.6962,66.9668
4.9996,62.4368,67.6651
5.0861,63.1631,68.3883
5.1727,63.8810,69.1095
5.2593,64.5825,69.8416
5.3458,65.2742,70.6105
5.4324,65.9532,71.3791
5.5189,66.6413,72.1297
5.6055,67.3477,72.9114
5.6920,68.0325,73.6937
5.7786,68.7106,74.5059
5.8651,69.3686,75.3002
5.9517,70.0261,76.1191
6.0382,70.6791,76.9421
6.1248,71.3066,77.7787
6.2113,71.9418,78.6061
6.2979,72.5826,79.4386
6.3845,73.2374,80.2716
6.4710,73.8554,81.1352
6.5576,74.4893,81.9954
6.6441,75.1227,82.8631
6.7307,75.7744,83.7318
6.8172,76.3884,84.5993
6.9038,76.9943,85.4598
6.9903,77.6233,86.3236
7.0769,78.2361,87.1810
7.1634,78.8261,88.0415
7.2500,79.4411,88.9159
