# council-basis official leaderboard (§4.10): T = 1/4(GF+GC+EF+EC), per-round A.5 bootstrap CI
# produced by papers/v3/experiments/29_council_only_leaderboard/council_basis_tables.py (seed 20260816, B=1000)
model,council,T,T_lo95,T_hi95,GF,GC,EF,EC
claude-opus-4.5,yes,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000
gemini-3.1-pro,yes,6.6523,6.5313,6.7978,6.5764,5.7529,7.2739,7.0060
claude-opus-4.0,yes,6.0389,5.7281,6.3890,6.9405,6.9804,3.8266,6.4081
gemini-2.5-flash,yes,6.0329,5.1979,6.5333,6.5419,5.7281,5.3397,6.5218
claude-opus-4.1,yes,5.9203,5.5859,6.3026,6.9523,7.1598,3.1015,6.4675
claude-sonnet-4,no,5.2202,4.9224,5.4718,6.9618,6.3135,1.4794,6.1260
gpt-4.1-mini,no,4.8822,4.1526,5.5764,6.1526,5.0518,1.3583,6.9659
gpt-4.1-2025-04-14,no,4.4448,4.2423,4.6662,6.5044,5.0482,0.0000,6.2266
gpt-4.1-nano,no,3.4223,2.7424,3.8749,3.2690,3.6384,0.3480,6.4336
gpt-4o-2024-08-06,no,3.3416,3.0058,3.6072,5.0722,3.4258,0.3586,4.5097
gpt-4o,no,2.8497,2.3775,3.2192,4.9680,3.4618,0.3591,2.6102
gpt-4o-mini,no,2.0951,1.7511,2.4568,2.6061,3.4343,0.0000,2.3402
